FECHA,max_SO2,min_SO2,mean_SO2,median_SO2,max_PART,min_PART,mean_PART,median_PART,max_NO2,min_NO2,mean_NO2,median_NO2,max_CO,min_CO,mean_CO,median_CO,max_O3,min_O3,mean_O3,median_O3
2017-01-01,9,4,4.87062937062937,4,389,1,31.7587412587413,5,93,6,26.0874125874126,19,1229,50,388.13986013986,320,82,3,43.9020979020979,42.5
2017-01-02,5,4,4.5,4.5,26,5,15.5,15.5,49,30,39.5,39.5,516,445,480.5,480.5,44,16,30,30
2017-01-04,10,2,5.08391608391608,5,99,5,36.6643356643357,26,92,10,37.1328671328671,34,1372,64,358.412587412587,311.5,53,2,22.993006993007,21
2017-01-05,9,2,4.7773851590106,5,97,1,24.3780918727915,5,104,6,31.8551236749117,30,1377,87,387.583038869258,324,76,2,28.3710247349823,26
2017-01-06,10,2,4.83333333333333,5,60,3,14.0555555555556,5,92,6,23.6458333333333,19,857,127,349.357638888889,327,86,3,38.5277777777778,36
2017-01-07,7,1,4.39583333333333,4,59,1,14.8263888888889,5,101,6,29.4965277777778,24.5,1097,85,389.513888888889,351,77,3,38.2048611111111,37
2017-01-08,18,2,5.85069444444444,5,87,1,19.4305555555556,5,133,6,32.8402777777778,24,1829,50,420.197916666667,361.5,77,3,35.1145833333333,38
2017-01-09,21,1,6.52083333333333,6,67,1,16.4583333333333,5,131,6,33.3854166666667,25.5,1489,50,357.881944444444,307.5,85,1,37.2256944444444,34.5
2017-01-10,18,1,6.20486111111111,6,76,1,17.3020833333333,5,102,6,35.0902777777778,30,1208,7,370.020833333333,340.5,65,1,26.5347222222222,24
2017-01-11,25,1,6.12847222222222,6,82,1,21.2916666666667,5,139,6,36.0069444444444,27,1715,7,402.402777777778,341.5,81,1,32.9513888888889,28
2017-01-12,15,5,10,10,28,5,16.5,16.5,63,17,40,40,304,198,251,251,47,7,27,27
2017-01-13,21,1,6.68531468531468,6,62,1,14.3216783216783,5,84,5,27.1748251748252,23.5,1520,176,409.248251748252,376.5,74,1,36.0629370629371,38
2017-01-14,20,1,7.25,6,50,1,12.4201388888889,5,67,5,20.4895833333333,16,1299,56,420.895833333333,343,98,2,49.4479166666667,54
2017-01-15,21,1,7.33333333333333,6,57,1,14.0451388888889,5,77,5,21.8506944444444,17,1242,92,492.972222222222,426.5,87,2,52.25,52.5
2017-01-16,50,1,7.02158273381295,6,88,1,19.5755395683453,5,142,6,35.2410071942446,28,1674,50,450.920863309353,392.5,96,1,39.8021582733813,37.5
2017-01-17,39,1,7.81944444444444,6,63,1,15.2048611111111,5,97,5,25.1944444444444,18,1754,57,389.805555555556,316.5,88,2,48.4618055555556,54.5
2017-01-18,18,1,6.98958333333333,6,37,1,8.14236111111111,5,53,4,10.8159722222222,9,1072,50,297.090277777778,309,98,25,67.8680555555556,69
2017-01-19,9,2,4.74305555555556,4,39,1,10.1840277777778,5,79,6,18,12,784,50,328.375,307,85,6,58.7256944444444,62
2017-01-20,7,2,4.60416666666667,4,53,1,12.9375,5,69,6,25.21875,21,1257,7,405.961805555556,350.5,66,4,33.3055555555556,35
2017-01-21,7,2,4.58680555555556,4,52,1,13.5034722222222,5,64,7,23.0833333333333,18,1032,50,313.572916666667,316,77,1,39.8055555555556,39
2017-01-22,7,2,4.50347222222222,4,37,1,10.3159722222222,5,80,6,17.5,13,804,50,341.020833333333,348,97,6,60.875,65
2017-01-23,15,3,4.75694444444444,4,89,1,18.2256944444444,5,126,6,33.2048611111111,21,1705,7,485.690972222222,400,92,1,44.1805555555556,46
2017-01-24,17,1,4.96527777777778,5,64,1,17.7638888888889,5,113,6,33.4791666666667,25,1245,73,401.163194444444,387.5,95,5,44.65625,42
2017-01-25,21,1,5.62152777777778,5,80,2,20.9756944444444,5,127,7,37.8923611111111,27,1259,50,421.020833333333,395,96,1,45.1145833333333,45
2017-01-26,7,1,4.41758241758242,5,53,5,17.4945054945055,13,109,6,28.8534798534799,22,1014,143,400.915750915751,366,98,3,57.3223443223443,61
2017-01-27,7,1,3.93055555555556,4,22,1,5.96180555555556,5,67,4,13.0347222222222,8,645,51,227.552083333333,251,101,29,80.9236111111111,87
2017-01-28,6,1,4.21875,4,40,1,8.53819444444444,5,75,5,14.3576388888889,8,787,79,272.263888888889,269,99,7,72.8680555555556,80
2017-01-29,8,1,3.6875,4,55,1,13.1944444444444,5,93,5,25.2222222222222,18.5,809,59,365.013888888889,375.5,102,3,52.09375,52.5
2017-01-30,14,1,4.30208333333333,4,106,1,17.2048611111111,5,133,6,31.9791666666667,19,1861,50,390.954861111111,327,89,1,46.4583333333333,47
2017-01-31,8,1,3.8125,4,70,1,19.1111111111111,5,129,8,36.5798611111111,31,1488,50,370.458333333333,358,86,1,37.28125,39.5
2017-02-01,7,1,3.39930555555556,3,53,1,15.1319444444444,5,93,6,29.2361111111111,22,661,50,255.65625,268.5,95,1,43.6909722222222,41.5
2017-02-02,6,1,3.5017667844523,4,44,1,10.4487632508834,5,94,5,17.1872791519435,13,909,50,271.731448763251,254,88,1,58.5265017667844,62
2017-02-03,6,1,3.50347222222222,4,59,5,17.2256944444444,8,41,4,11.1215277777778,7,805,7,197.152777777778,215.5,97,8,77.8298611111111,80
2017-02-04,6,1,3.36458333333333,4,33,2,12.4305555555556,5,22,3,7.65625,5,444,50,178.166666666667,208.5,93,47,80.1111111111111,81
2017-02-05,6,1,3.40625,4,70,1,10.1458333333333,5,30,4,7.63541666666667,6,1025,50,224.069444444444,208,96,45,78.9236111111111,78.5
2017-02-06,7,1,4.24652777777778,5,52,1,13.4548611111111,5,113,4,22.5138888888889,11,1343,50,321.75,267,94,1,65.5833333333333,82
2017-02-07,10,1,3.25347222222222,4,70,1,14.9722222222222,5,100,4,21.9270833333333,16,927,7,241.256944444444,224.5,81,1,48.3715277777778,55
2017-02-08,8,1,4.32638888888889,5,33,1,8.19791666666667,5,71,4,14.0069444444444,10,905,51,261.510416666667,267,93,17,69.1354166666667,68.5
2017-02-09,14,2,5.7208480565371,6,84,1,17.1660777385159,5,145,5,31.530035335689,18,1805,50,458.310954063604,346,98,1,55.8763250883392,62
2017-02-10,9,1,4.18402777777778,5,61,1,13.2361111111111,5,81,5,20.1354166666667,17,948,50,237.496527777778,262,94,5,61.0694444444444,65
2017-02-11,7,1,4.05902777777778,5,38,1,7.47916666666667,5,37,4,8.75,7,924,50,262.559027777778,269,87,42,73.9583333333333,75
2017-02-12,7,1,4.49305555555556,5,49,1,12.7083333333333,5,52,4,11.5104166666667,7,854,50,220.010416666667,254.5,95,18,71.2743055555556,74
2017-02-13,8,1,3.70545454545455,5,123,1,12.6109090909091,5,71,3,13.3890909090909,7,1332,50,312.181818181818,238,109,8,80.2581818181818,86
2017-02-14,8,1,4.24305555555556,5,70,1,11.7222222222222,5,111,5,20.6875,14,1710,55,333.232638888889,304.5,99,1,62.84375,67
