FECHA,max_SO2,min_SO2,mean_SO2,median_SO2,max_PART,min_PART,mean_PART,median_PART,max_NO2,min_NO2,mean_NO2,median_NO2,max_CO,min_CO,mean_CO,median_CO,max_O3,min_O3,mean_O3,median_O3
2018-01-01,11,1,6.33916083916084,8,53,1,10.8566433566434,5,76,3,19.0559440559441,11,1037,50,286.258741258741,291,78,1,49.8216783216783,56
2018-01-02,20,1,4.57638888888889,4,66,2,14.9652777777778,5,81,2,26.4930555555556,24,1105,10,284.940972222222,254,118,1,35.4826388888889,34
2018-01-03,16,1,6.19642857142857,6,68,2,17.825,5,79,2,24.6964285714286,16,1638,10,321.285714285714,284,125,1,48.3857142857143,44.5
2018-01-04,7,1,2.86111111111111,3,101,5,31.5277777777778,16,35,3,8.98958333333333,7,818,26,222.875,198,128,46,94.2465277777778,97
2018-01-05,7,1,4.01041666666667,4,77,1,10.3819444444444,5,47,3,10.3611111111111,8,807,7,216.451388888889,164,125,8,88.5694444444444,91
2018-01-06,7,1,4.02430555555556,4,49,1,9.76388888888889,5,66,3,12.6805555555556,7,710,50,283.909722222222,307.5,113,1,63.5243055555556,66
2018-01-07,10,1,3.84027777777778,4,46,5,16.6388888888889,5,55,3,15.2569444444444,10,920,10,210.329861111111,232,163,1,90.3993055555556,102
2018-01-08,11,1,4.86458333333333,5,39,1,8.17708333333333,5,85,4,20.0763888888889,12,1104,50,318.236111111111,373.5,121,3,57.09375,61
2018-01-09,12,1,3.49305555555556,3,117,1,26.2326388888889,5,34,3,8.10416666666667,6,931,10,218.395833333333,214,129,14,80.1458333333333,81
2018-01-10,8,1,4.73214285714286,5,38,1,8.48214285714286,5,39,2,9.16428571428571,7,760,65,274.032142857143,202,105,16,72.6035714285714,82
2018-01-11,14,1,4.15625,4,30,1,7.20833333333333,5,48,3,9.63888888888889,7,1119,31,273.979166666667,180,117,8,64.9305555555556,68
2018-01-12,10,1,5.60416666666667,6,27,1,6.97569444444444,5,35,3,6.27083333333333,5,951,18,235.090277777778,221.5,108,60,94.0833333333333,97
2018-01-13,13,1,4.6875,5,89,1,12.5694444444444,5,61,2,8.76041666666667,7,1452,10,231.913194444444,187,130,5,98.9097222222222,107
2018-01-14,10,1,4.72222222222222,5,30,1,9.66319444444444,5,43,5,13.3680555555556,11,850,10,234.791666666667,187.5,136,1,79.75,82.5
2018-01-15,7,1,4.12857142857143,4,63,1,14.9178571428571,5,108,4,26.5785714285714,19,997,10,395.585714285714,414.5,113,2,50.6571428571429,47
2018-01-16,12,1,5.72569444444444,5,58,1,15.1527777777778,5,108,3,24.8368055555556,14,1546,10,347.142361111111,269.5,131,1,49.7673611111111,53
2018-01-17,9,1,4.28819444444444,6,64,1,15.9409722222222,5,17,2,7.66319444444444,7,902,7,235.083333333333,181.5,115,8,61.0451388888889,72
2018-01-18,9,1,4.11805555555556,4,59,1,15.9375,5,108,5,22.3402777777778,14,894,10,291.354166666667,247.5,106,4,61.4965277777778,64
2018-01-19,9,1,4.94097222222222,7,38,4,12.1805555555556,5,28,4,8.35763888888889,7,1197,10,180.548611111111,147,137,36,105.378472222222,110
2018-01-20,9,1,4.99283154121864,4,52,1,12.5232974910394,5,80,4,25.5985663082437,21,877,7,352.856630824373,352,86,1,39.4516129032258,34
2018-01-21,5,1,2.703125,3,50,1,17.0625,5,56,3,12.7135416666667,10,1467,7,226.25,210,118,8,81.5260416666667,83
2018-01-22,29,1,4.74568965517241,5.5,69,1,17.4094827586207,5,18,4,8.68103448275862,8,934,7,219.137931034483,175,133,8,70.9094827586207,84.5
2018-01-23,10,1,4.75454545454545,5,46,2,10.7136363636364,5,54,2,21.5590909090909,20.5,623,10,205.418181818182,226.5,104,2,35.3636363636364,34
2018-01-24,7,1,3.31372549019608,3,62,1,17.8186274509804,5,106,4,17.3872549019608,13,1187,10,275.166666666667,223.5,114,17,79.5588235294118,80
2018-01-25,9,1,5.71527777777778,7,67,1,8.79861111111111,5,85,3,9.68055555555556,5,917,13,288.225694444444,240,132,21,97.8819444444444,99
2018-01-26,11,1,5.13194444444444,5,58,4,15.8090277777778,5,115,4,33.1493055555556,28,1257,10,355.895833333333,345,110,1,37.2256944444444,30.5
2018-01-27,10,1,5.07638888888889,5,69,1,15.4826388888889,5,110,3,27.3958333333333,15.5,1346,50,372.791666666667,318.5,98,1,51.6805555555556,58
2018-01-28,7,1,3.34027777777778,3,63,5,16.78125,5,73,3,13.1631944444444,10.5,888,7,243.086805555556,236.5,125,8,88.0138888888889,94
2018-01-29,7,1,3.16845878136201,3,40,1,9.50537634408602,5,69,2,14.0250896057348,9,668,52,199.663082437276,149,115,2,69.4193548387097,71
