FECHA,max_SO2,min_SO2,mean_SO2,median_SO2,max_PART,min_PART,mean_PART,median_PART,max_NO2,min_NO2,mean_NO2,median_NO2,max_CO,min_CO,mean_CO,median_CO,max_O3,min_O3,mean_O3,median_O3
2019-01-01,15,1,6.65034965034965,6,68,4,15.5,5,99,4,32.3461538461538,25,1030,10,289.503496503496,324,73,1,33.9125874125874,40
2019-01-02,18,1,7.42708333333333,7,78,2,19.0520833333333,5,118,4,39.6423611111111,37.5,917,7,241.927083333333,275.5,75,1,29.0451388888889,23
2019-01-03,15,2,6.12152777777778,6,63,5,16.21875,6,129,5,32.7777777777778,28,992,10,211.597222222222,218,80,1,37.7708333333333,36
2019-01-04,11,1,5.79078014184397,6,50,5,16.1560283687943,5,99,3,30.9645390070922,30,885,10,224.602836879433,206,85,1,35.7553191489362,34
2019-01-05,23,2,7.02430555555556,6,87,5,17.5,6.5,169,5,34.5729166666667,26,2222,10,335.006944444444,330.5,79,1,35.2916666666667,35
2019-01-06,13,1,6.80902777777778,7,48,3,12.9375,5,86,3,24.1875,20.5,649,10,222.784722222222,245,89,1,48.7256944444444,41
2019-01-07,15,2,6.88541666666667,7,53,5,15.3368055555556,6,108,5,29.8333333333333,21,1218,10,261.8125,296.5,80,1,41.4548611111111,42.5
2019-01-08,27,1,7.56597222222222,7,75,5,20.3229166666667,5.5,146,6,37.7673611111111,27,2200,7,439.222222222222,414.5,80,1,33.4826388888889,32
2019-01-09,19,1,7.01388888888889,7,45,1,15.1458333333333,5,108,2,30.4652777777778,21,1312,124,399.482638888889,366,93,1,41.2083333333333,45
2019-01-10,17,1,7.01388888888889,7,46,1,12.0416666666667,5,105,2,24.2638888888889,15,919,132,319.440972222222,274,90,1,53.7986111111111,58
2019-01-11,39,2,7.0431654676259,7,79,1,17.1187050359712,5,142,3,32.6510791366906,17,1687,113,442,362.5,87,1,43.8812949640288,48
2019-01-12,10,1,4.38194444444444,5,78,4,18.2048611111111,5,132,4,32.3298611111111,23,2228,165,475.642361111111,387,93,1,42.4548611111111,43
2019-01-13,10,1,5.93402777777778,5,57,4,16.4444444444444,5,106,3,28.2326388888889,21,1337,135,436.975694444444,392.5,88,1,46.6006944444444,46
2019-01-14,28,1,7.61904761904762,8,92,5,18.047619047619,5,155,4,42.1758241758242,35,2525,183,557.120879120879,430,94,1,36.2783882783883,36
2019-01-15,23,1,7.48611111111111,8,124,5,26.1701388888889,9.5,140,7,42.8020833333333,39,1799,254,571.305555555556,470.5,83,1,32.5625,28
2019-01-16,13,2,6.20486111111111,7,78,5,24.0104166666667,10.5,83,4,35.7986111111111,36,1439,227,499.527777777778,455.5,63,1,24.5833333333333,19
2019-01-17,12,1,5.23958333333333,5,62,5,18.9756944444444,8,68,3,25.78125,24,1080,7,404.965277777778,398,81,1,37.5625,38
2019-01-18,11,1,4.81944444444444,5,53,5,17.0833333333333,7,84,5,25.6041666666667,20,808,236,376.118055555556,353.5,77,1,38.3090277777778,38.5
2019-01-19,6,2,4.34722222222222,4.5,38,5,14.1666666666667,5,46,6,20.8993055555556,20,694,261,394.083333333333,382,67,1,37.3333333333333,36
2019-01-20,7,1,4.26388888888889,4,28,1,6.68402777777778,5,72,1,11.2048611111111,6,850,156,317.940972222222,330.5,77,8,53.1041666666667,54
2019-01-21,9,1,4.81052631578947,5,40,1,11,5,80,3,26.3087719298246,20,1036,7,410.070175438596,405,77,1,39.0210526315789,40
2019-01-22,17,1,5.13888888888889,5,39,1,9.13541666666667,5,92,2,18.5486111111111,13,900,132,337.416666666667,298,75,1,45.46875,51
2019-01-23,7,2,4.20494699646643,4,15,1,5.4452296819788,5,24,2,7.4416961130742,4,372,200,263.120141342756,255,77,43,67.7985865724382,69
2019-01-24,9,2,4.82578397212544,5,41,1,8.88850174216028,5,82,2,17.4668989547038,7,1000,188,330.574912891986,283,74,1,51.1080139372822,61
2019-01-25,13,1,5.47916666666667,5,40,1,11.6111111111111,5,99,2,25.6770833333333,18,938,173,389.020833333333,354.5,80,1,36.8472222222222,35
2019-01-26,15,1,5.70486111111111,5,54,1,12.3611111111111,5,99,3,24.3819444444444,17,1365,157,386.847222222222,327,86,1,42.9652777777778,45
2019-01-27,10,1,4.40972222222222,5,29,3,9.48958333333333,5,53,2,11.78125,9,561,221,309.166666666667,294,79,7,58.3993055555556,66.5
2019-01-28,8,1,5.032,5,29,1,9.4,7,53,2,12.816,10,540,206,313.888,313,79,16,59.784,64.5
2019-01-29,6,2,4.46341463414634,5,20,1,6.09756097560976,5,56,1,8.70731707317073,4,505,252,303.91637630662,305,87,20,70.3205574912892,72
2019-01-30,7,1,4.80769230769231,5,19,1,7.10839160839161,5,34,1,7.28671328671329,4,382,249,295.104895104895,293.5,89,48,74.979020979021,74
2019-01-31,7,1,3.8086642599278,4,12,1,4.47653429602888,5,28,1,5.49458483754513,3,377,7,242.148014440433,264,85,8,69.0180505415162,71
2019-02-01,8,1,4.35069444444444,5,38,1,5.94791666666667,5,24,1,5.87847222222222,3,427,140,229.920138888889,229.5,99,55,78.4652777777778,76.5
2019-02-02,8,2,5.46180555555556,6,36,1,6.76736111111111,5,21,1,4.97222222222222,4,356,140,224.020833333333,211,99,57,80.0208333333333,79
2019-02-03,9,2,6.15277777777778,6,22,1,7.37152777777778,5,61,1,14.4722222222222,9,699,86,304.767361111111,304,90,8,60.8055555555556,62
2019-02-04,18,1,6.21201413427562,6,51,1,11.452296819788,5,122,3,28.0883392226148,15,996,7,377.109540636042,369,94,1,48.3816254416961,49
2019-02-05,21,1,7.26132404181185,7,75,5,15.7595818815331,5,127,2,36.6550522648084,25,1486,20,421.801393728223,375,101,1,41.3763066202091,39
2019-02-06,22,1,6.38888888888889,7,79,5,17.8368055555556,5,137,3,34.2361111111111,24,1558,115,413.177083333333,382,95,1,40.5902777777778,41
2019-02-07,17,1,5.58148148148148,4,69,1,19.6185185185185,5,114,3,37.7592592592593,27.5,1021,58,407.762962962963,394,89,1,43.7222222222222,53
2019-02-08,16,1,4.54166666666667,4,83,5,18.1979166666667,6.5,119,4,32.4166666666667,23,856,95,329.8125,312.5,103,1,50.8402777777778,57
2019-02-09,11,1,4.10069444444444,4,88,5,18.65625,8.5,102,5,26.7395833333333,19,860,135,344.9375,327,113,1,55.5625,56
2019-02-10,6,2,4.15972222222222,4,45,5,14.9652777777778,5.5,67,3,18.0277777777778,15,588,150,298.947916666667,282.5,85,3,51.0173611111111,55
2019-02-11,13,1,4.35191637630662,4,58,1,14.8675958188153,5,124,2,28.5191637630662,19,1163,7,311.780487804878,276,90,1,38.6480836236934,35
2019-02-12,10,1,5.46762589928058,6,55,5,15.1654676258993,5,110,4,25.3093525179856,20,778,118,303.525179856115,297,95,1,44.2446043165468,45
2019-02-13,20,1,5.99305555555556,6,54,3,13.7881944444444,5,125,3,24.4618055555556,15,768,10,245.645833333333,249.5,97,1,62.875,73.5
2019-02-14,19,1,6.47916666666667,6,61,4,12.3923611111111,5,127,2,20.5729166666667,12,670,10,222.111111111111,286,106,1,75.5034722222222,85
2019-02-15,20,1,6.21180555555556,7,103,5,20.7916666666667,11,116,3,25.15625,16,746,10,256.260416666667,271,98,3,57.4027777777778,60
2019-02-16,18,1,6.02083333333333,6,45,5,11.2430555555556,5,26,2,4.92708333333333,4,343,7,157.961805555556,154,110,70,92.3368055555556,93
2019-02-17,18,1,6.58041958041958,7,40,2,10.6468531468531,5,100,1,11.2377622377622,6,639,7,185.192307692308,149,111,6,84.1503496503497,87
2019-02-18,17,1,6.26923076923077,7,84,5,21.0559440559441,5,98,2,17.9405594405594,9,733,7,346.909090909091,317,95,1,69.2132867132867,77
2019-02-19,11,1,4.12639405204461,3,89,5,30.817843866171,39,95,3,22.7397769516729,15,861,149,389.561338289963,335,98,1,59.3457249070632,66
2019-02-20,9,1,4.77430555555556,5,92,1,32.5902777777778,5,123,5,27.3715277777778,17,963,232,415.826388888889,400,106,1,55.4270833333333,60
2019-02-21,20,1,5.47670250896057,5,72,5,24.1935483870968,24,125,3,24.4229390681004,14,997,82,337.810035842294,363,119,1,71.0824372759857,79
2019-02-22,20,1,5.77966101694915,6,141,5,29.4025423728814,5,82,4,20.9872881355932,16,718,161,379.927966101695,389,116,2,65.4661016949153,68
2019-02-23,11,5,6.86805555555556,7,5,5,5,5,56,2,13.3680555555556,11,1078,354,451.722222222222,428.5,117,39,80.1666666666667,81
2019-02-24,9,5,7.10416666666667,7,5,5,5,5,29,3,10.3680555555556,9,594,356,428.354166666667,424.5,121,44,85.2291666666667,87
2019-02-25,20,1,5.76325088339223,6,89,5,18,5,133,1,24.1060070671378,14,677,7,254.844522968198,237,123,1,78.4063604240283,91
2019-02-26,20,1,5.12152777777778,3,66,2,12.4826388888889,5,92,1,12.1944444444444,7,636,11,185.819444444444,183,106,1,81.0277777777778,91
2019-02-27,21,1,5.97916666666667,3,76,2,14.1076388888889,5,142,1,25.3159722222222,16,1518,11,230.659722222222,191.5,121,1,80.8923611111111,89
2019-02-28,21,1,5.11805555555556,4,50,5,15.3819444444444,7,118,3,18.5451388888889,12,602,14,224.628472222222,226.5,137,3,90.0798611111111,93
2019-03-01,16,1,5.21328671328671,3,74,5,18.9685314685315,9.5,95,4,21.4405594405594,14.5,739,57,237.765734265734,227.5,117,1,79.6643356643357,87
2019-03-02,14,1,3.15254237288136,2,64,5,17.7796610169492,5,37,2,14.1822033898305,13,778,133,260.826271186441,245.5,118,13,69.3262711864407,67
2019-03-03,3,1,1.85416666666667,2,5,5,5,5,20,3,8.38888888888889,7,379,153,225.444444444444,213,127,52,95.2013888888889,93
2019-03-04,19,1,3.8815331010453,2,63,4,15.1672473867596,5,67,2,14.9616724738676,10,507,83,209.407665505226,179,118,10,78.1324041811847,78
2019-03-05,19,1,2.75,1,42,1,9.55208333333333,5,65,1,16.0833333333333,10,763,82,255.190972222222,234,77,1,50.28125,57
2019-03-06,17,1,2.28125,1,34,1,9.32291666666667,5,54,1,9.03125,6,605,100,223.791666666667,177,93,1,69.3194444444444,76
2019-03-07,15,1,2.42361111111111,1,36,1,10.3645833333333,5,98,1,13.9756944444444,6,566,7,236.059027777778,203,96,1,70.4027777777778,78
2019-03-08,13,1,3.06741573033708,2,57,4,12.4269662921348,10,99,2,18.9288389513109,10,991,7,228.352059925094,202,110,1,63.2059925093633,60
2019-03-09,13,1,3.17708333333333,2,52,1,11.7708333333333,5,125,2,21.6458333333333,13,789,12,247.59375,238.5,122,1,62.59375,62
2019-03-10,28,1,4.17361111111111,2,60,1,13.6493055555556,5,118,2,21.53125,14,884,10,261.447916666667,240.5,122,1,74.8020833333333,80
2019-03-11,11,1,3.05985915492958,2,61,1,14.1760563380282,5,134,2,26.5422535211268,16.5,1012,7,265.816901408451,228.5,102,1,55.9718309859155,60.5
2019-03-12,12,1,2.8125,2,54,1,13.9722222222222,5,98,2,18.9131944444444,14,1184,80,218.430555555556,184,116,1,69.9444444444444,68
2019-03-13,11,1,3.07986111111111,2,34,2,11.0381944444444,5,94,2,13.7013888888889,11,373,36,184.670138888889,174,106,12,73.7083333333333,75.5
2019-03-14,13,1,3.67013888888889,3,57,1,9.87152777777778,5,121,2,18.1527777777778,10,636,10,215.135416666667,235.5,114,1,74.4618055555556,78
2019-03-15,19,1,5.21527777777778,3,60,1,12.3125,5,138,2,26.5868055555556,14,869,18,244.864583333333,243,146,1,78.7986111111111,79.5
2019-03-16,12,1,4.27777777777778,4,54,5,13.9340277777778,5.5,68,3,17.1701388888889,14,765,10,206.28125,218,140,31,92.4131944444444,94
2019-03-17,12,1,4.50347222222222,3,54,5,17.4930555555556,7.5,49,1,9.34722222222222,7,321,10,151.836805555556,189.5,126,25,85.0486111111111,84
