FECHA,max_SO2,min_SO2,mean_SO2,median_SO2,max_PART,min_PART,mean_PART,median_PART,max_NO2,min_NO2,mean_NO2,median_NO2,max_CO,min_CO,mean_CO,median_CO,max_O3,min_O3,mean_O3,median_O3
2016-01-01,13,2,5.23426573426573,5,163,5,17.6818181818182,5,85,3,17.0804195804196,13,1393,71,328.062937062937,299.5,70,2,35.9125874125874,40
2016-01-02,7,1,4.11458333333333,5,44,5,10.1354166666667,5,88,2,15.4097222222222,8,840,67,261.704861111111,246.5,83,2,57.9409722222222,66
2016-01-03,6,1,3.80902777777778,4,197,5,14.3854166666667,5,61,2,12.4895833333333,10,638,74,224.802083333333,173,82,2,51.8888888888889,56.5
2016-01-04,11,1,4.05923344947735,5,19,5,6.28222996515679,5,23,2,7.66202090592335,5,388,7,151.16724738676,94,76,8,56.3484320557491,59
2016-01-05,6,2,4.39930555555556,5,19,5,6.19791666666667,5,36,3,10.7083333333333,8,429,72,210.288194444444,177,83,48,68.3958333333333,68
2016-01-06,8,3,5.55208333333333,6,26,5,7.39583333333333,5,34,3,9.23611111111111,8,540,134,258.375,203.5,89,44,73.78125,75
2016-01-07,7,1,3.81597222222222,5,18,5,6.34375,5,44,3,10,7,504,116,213.697916666667,167.5,87,30,69.4479166666667,73
2016-01-08,8,1,4.43055555555556,5,29,5,9.73958333333333,5,73,4,15.5451388888889,13,721,117,306.159722222222,268.5,88,1,53.0729166666667,52.5
2016-01-09,7,1,4.32291666666667,5,23,5,7.82986111111111,5,41,3,9.10416666666667,6,635,121,224.427083333333,179,86,49,75.3159722222222,76
2016-01-10,6,1,4.40277777777778,5,18,5,6.49305555555556,5,22,3,6.34027777777778,4.5,374,74,210.104166666667,168.5,89,69,82.7569444444444,84
2016-01-11,6,1,4.39007092198582,5,27,1,6.5177304964539,5,63,3,12.209219858156,6,417,117,215.067375886525,196,88,19,72.322695035461,77
2016-01-12,11,2,5.20138888888889,5,51,1,12.3055555555556,5,89,3,20.7534722222222,16,858,82,266.288194444444,222.5,79,2,46.0277777777778,47
2016-01-13,10,2,5.83680555555556,6,57,1,14.8784722222222,5,94,5,27.0868055555556,21.5,786,92,347.527777777778,319.5,71,1,34.7638888888889,36
2016-01-14,10,1,5.02777777777778,5,52,5,18.5416666666667,10.5,87,7,35.1388888888889,32.5,878,124,388.399305555556,361.5,73,1,29.125,29
2016-01-15,7,1,3.95833333333333,5,38,1,10.7534722222222,5,61,5,22.1423611111111,19,617,119,263.878472222222,235.5,74,1,39.4618055555556,39
2016-01-16,7,1,5.28472222222222,5,64,1,10.1180555555556,5,73,4,17.7395833333333,12,678,79,258.510416666667,232.5,87,5,54.0555555555556,54
2016-01-17,11,2,6.1875,6,78,4,19.9131944444444,5,96,6,21.6631944444444,16,964,109,400.493055555556,384.5,80,3,44.2986111111111,43
2016-01-18,13,1,5.39236111111111,6,60,5,17.6423611111111,5,94,5,23.2708333333333,18,813,7,318.784722222222,304,84,3,46.4097222222222,49.5
2016-01-19,13,1,5.52430555555556,6,90,5,19.1527777777778,7.5,93,5,27.7638888888889,23,1163,104,320.777777777778,276,77,1,35.7777777777778,38
2016-01-20,9,1,4.88541666666667,5,42,5,14.3645833333333,5,67,6,22.7118055555556,20,651,7,317.423611111111,316.5,69,1,28.8680555555556,26
2016-01-21,7,1,4.17361111111111,5,53,5,13.7569444444444,7,103,5,28.2395833333333,24.5,1026,153,346.809027777778,322,74,2,35.5,35
2016-01-22,22,1,4.75694444444444,5,59,4,17.2916666666667,5,101,6,29.5625,23,1046,50,337.135416666667,314,87,2,35.15625,34
2016-01-23,13,1,5.09027777777778,5,76,1,16.0763888888889,5,119,5,28.4305555555556,20,1593,121,414.274305555556,341.5,86,1,33.9548611111111,31
2016-01-24,7,1,4.39236111111111,5,72,1,19.2673611111111,5,106,6,28.0243055555556,20,1358,85,385.868055555556,332,92,1,39.2152777777778,38.5
2016-01-25,16,1,4.73021582733813,5,105,5,22.6762589928058,9,106,6,34.0287769784173,26,1336,60,337.571942446043,285.5,73,2,34.1115107913669,36
2016-01-26,6,1,4.07986111111111,5,53,1,17.4201388888889,5,65,6,23.0520833333333,18,682,118,295.510416666667,272,100,3,50.375,45
2016-01-27,15,1,5.44444444444444,5,80,1,17.9479166666667,5,128,5,24.625,17,1490,7,321.208333333333,266,87,2,47.3958333333333,48
2016-01-28,12,1,5.25347222222222,5,66,5,21.1701388888889,7,96,7,31.4965277777778,24.5,1058,82,329.302083333333,289,78,3,42.4826388888889,45
2016-01-29,13,2,5.39583333333333,5,62,5,21.6875,9.5,99,6,30.5486111111111,26,963,180,341.743055555556,307,83,3,38.5173611111111,43
2016-01-30,10,2,4.87847222222222,5,97,3,19.3298611111111,5,104,5,25.9618055555556,20,1375,162,370.888888888889,317.5,85,1,41.3576388888889,41
2016-01-31,8,1,4.59722222222222,5,65,5,22.1006944444444,12,101,5,25.7395833333333,19,964,77,374.756944444444,329,85,3,40.6458333333333,39
2016-02-01,12,1,5.10992907801418,5,68,1,17.6418439716312,5,118,5,30.1418439716312,22,1795,7,386.617021276596,292,99,3,41.4326241134752,37.5
2016-02-02,13,1,5.20486111111111,6,83,1,19.6215277777778,5,94,6,34.4270833333333,29,1027,114,362.902777777778,305.5,89,3,39.3784722222222,37.5
2016-02-03,10,2,5.24305555555556,6,79,5,17.6597222222222,7.5,75,6,27.9513888888889,24.5,821,138,309.076388888889,267,79,1,41.3958333333333,44
2016-02-04,10,1,5.55902777777778,6,38,2,11.2847222222222,5,106,5,22.5590277777778,15,685,67,258.201388888889,238,88,4,50.3993055555556,48
2016-02-05,16,2,5.75,6,74,1,12.8263888888889,5,124,5,22.5486111111111,10,1318,65,362.413194444444,301.5,87,1,63.4930555555556,74
2016-02-06,11,1,5.93055555555556,6,70,5,21.5069444444444,8,92,4,25.3680555555556,19,1283,61,310.586805555556,298,96,2,53.9340277777778,56.5
2016-02-07,8,1,5.18055555555556,6,34,1,10.3402777777778,5,52,4,10.0868055555556,7,544,112,229.895833333333,207,92,33,78.5277777777778,81
2016-02-08,18,1,5.51736111111111,6,43,5,14.6944444444444,7,74,5,19.9791666666667,14,661,7,250.496527777778,229.5,88,3,55.2256944444444,63
2016-02-09,8,2,5.17857142857143,6,39,1,9.40714285714286,5,57,4,14.6178571428571,10,732,106,295.925,277.5,89,1,66.8107142857143,71.5
2016-02-10,7,1,4.37152777777778,5,17,1,6.19791666666667,5,30,4,10.0902777777778,7,498,95,200.645833333333,158,81,50,68.5034722222222,71
2016-02-11,7,1,4.24652777777778,5,20,1,5.54166666666667,5,32,4,10.5694444444444,7,559,84,230.236111111111,130.5,74,36,58.8402777777778,59
2016-02-12,9,1,4.63194444444444,5,15,1,5.77777777777778,5,27,4,9.18402777777778,6,457,81,184.163194444444,149.5,78,46,64.3055555555556,65
2016-02-13,7,1,4.20486111111111,5,34,1,5.05902777777778,5,20,3,7.29513888888889,4.5,692,81,215.986111111111,118.5,63,44,53.65625,54
2016-02-14,7,1,4.76736111111111,5,21,1,5.92708333333333,5,13,3,6.03819444444444,6,511,65,180.701388888889,170.5,94,54,77.4409722222222,81
2016-02-15,8,1,5.28621908127209,5,14,1,5.84098939929329,5,65,4,12.8621908127208,8,749,7,223.134275618375,238,84,8,70.3604240282686,74
2016-02-16,17,3,5.99305555555556,6,26,1,7.52430555555556,5,63,5,14.3020833333333,10,656,50,290.586805555556,266.5,97,30,70.2777777777778,71
2016-02-17,14,3,5.76041666666667,5,44,3,11.3333333333333,5,94,6,23.4756944444444,15,1081,116,341.96875,294.5,104,4,63.5590277777778,66
2016-02-18,13,1,4.63541666666667,5,29,2,9.70486111111111,5,70,6,21.6875,18,668,118,310.704861111111,248.5,100,7,60.1909722222222,61
2016-02-19,6,2,4.60763888888889,5,31,1,8.24652777777778,5,59,6,12.6631944444444,11,497,127,248.673611111111,232,89,10,66.1041666666667,72
2016-02-20,8,2,5.03125,5,26,3,9.37847222222222,5,29,5,8.32291666666667,8,548,100,239.263888888889,214,93,69,84.4722222222222,86
2016-02-21,8,1,4.86111111111111,5,259,4,81.2569444444444,5,60,5,10.4236111111111,7,833,131,324.40625,242,105,34,84.6631944444444,88
2016-02-22,14,1,4.6794425087108,5,340,5,127.146341463415,5,78,5,21.8989547038328,15,946,7,219.97212543554,212,103,7,61.1637630662021,64
2016-02-23,13,1,4.37847222222222,4.5,291,5,96.9791666666667,47,90,7,24.4722222222222,18,894,61,266.506944444444,256.5,105,4,57.6145833333333,56
2016-02-24,9,2,4.64583333333333,5,111,5,32.3472222222222,6,74,4,20.4375,15,732,108,259.767361111111,242,91,6,58.5833333333333,64
2016-02-25,10,1,4.28985507246377,4,369,1,15.8152173913043,5,53,4,12.5326086956522,8,545,144,255.347826086957,213,89,42,71.9239130434783,75
2016-02-26,9,2,4.67361111111111,5,69,1,8.96180555555556,5,61,4,12.7083333333333,9,572,104,218.423611111111,200,96,38,76.8229166666667,77
2016-02-27,8,2,5.10763888888889,5,14,1,5.18402777777778,5,22,4,7.85069444444444,6,601,84,227.045138888889,224,91,47,77.0034722222222,79
2016-02-28,7,1,4.60763888888889,5,16,1,5.37152777777778,5,20,4,7.81944444444444,7,584,61,302.715277777778,249,79,53,70.0243055555556,72
2016-02-29,7,2,5.11111111111111,5,43,1,9.15625,5,84,5,18.6909722222222,11,717,137,309.861111111111,291.5,98,4,60.8159722222222,64
2016-03-01,22,1,5.81560283687943,5,66,1,12.3262411347518,5,147,6,26.9503546099291,14,1492,50,304.960992907801,254.5,113,3,69.063829787234,74
2016-03-02,16,1,5.62847222222222,5,61,5,17.0451388888889,5,129,6,26.6284722222222,20,939,50,270.701388888889,250,101,3,65.8229166666667,72
2016-03-03,8,1,3.84375,5,46,1,14.0694444444444,5,99,5,23.0208333333333,17,1011,86,271.302083333333,242,104,4,57.3958333333333,57
2016-03-04,10,1,4.44444444444444,5,74,5,17.7222222222222,11,76,6,21.0486111111111,17,925,7,280.604166666667,281,110,7,63.0277777777778,62
2016-03-05,9,1,4.43402777777778,5,22,1,7.48611111111111,5,33,5,8.69791666666667,8,517,146,246.4375,235,93,55,76.6319444444444,77.5
2016-03-06,8,2,5,5,20,1,7.11458333333333,5,30,5,8.62847222222222,7,440,110,257.694444444444,249.5,87,57,74.8611111111111,75
2016-03-07,13,1,4.85763888888889,5,20,1,6.91666666666667,5,88,4,16.7465277777778,9,625,7,252.892361111111,247.5,87,8,64.8888888888889,72.5
2016-03-08,10,3,5.15625,5,31,1,7.72916666666667,5,57,5,16.4618055555556,12,554,85,278.395833333333,259,92,12,66.5902777777778,73
2016-03-09,11,2,5.28819444444444,5,61,1,12.0555555555556,5,83,5,21.6111111111111,18,571,71,287.71875,301,91,4,55.9375,60
2016-03-10,12,2,5.15884476534296,5,19,1,6.90613718411552,5,68,4,16.1371841155235,12,544,96,249.776173285199,238,88,18,64.8808664259928,63
2016-03-11,20,1,5.36805555555556,5,35,1,9.21875,5,101,6,22.5833333333333,13,753,50,291.951388888889,261,97,4,62.5138888888889,63
2016-03-12,11,3,5.58680555555556,5,35,1,12.4409722222222,5,125,6,24.5416666666667,18,728,50,322.934027777778,335,115,5,66.40625,64
2016-03-13,11,2,5.59027777777778,5,38,2,13.2430555555556,5,96,6,21.5277777777778,16,1333,50,303.336805555556,301,120,11,78.6770833333333,76
2016-03-14,11,1,5.73309608540925,6,55,5,13.4483985765125,5,86,6,22.0889679715302,16,592,7,259.533807829182,259,118,7,80.288256227758,82
2016-03-15,8,2,4.37152777777778,4,46,5,15.3854166666667,8.5,47,6,17.1111111111111,15,577,138,293.229166666667,270,106,13,77.5625,83.5
2016-03-16,7,1,4.23958333333333,4,39,1,9.79513888888889,5,67,5,15.0763888888889,11,541,134,261.246527777778,231,100,8,66.9236111111111,76
2016-03-17,9,1,4.90277777777778,5,54,5,14.7048611111111,5.5,77,6,21.2291666666667,16,799,176,309.777777777778,277,117,10,71.7291666666667,72
2016-03-18,6,1,4.46875,5,54,5,17.6805555555556,11,60,8,23.65625,20,543,171,292.420138888889,265,110,11,67.9861111111111,68.5
2016-03-19,7,1,4.27083333333333,5,44,1,11.3923611111111,5,46,5,11.7326388888889,10,538,59,230.78125,211.5,102,46,79.1388888888889,82
2016-03-20,6,1,4.29166666666667,5,25,1,8.40277777777778,5,66,6,13.6111111111111,10,563,129,276.892361111111,257.5,97,6,68.0277777777778,70
2016-03-21,7,1,4.78819444444444,5,27,1,9.54513888888889,5,65,6,18.3055555555556,17,568,7,305.607638888889,294,98,4,60.4479166666667,62
2016-03-22,12,1,4.86805555555556,5,179,1,12.2951388888889,5,50,6,15.1527777777778,13,627,117,279.572916666667,259,102,29,72.3229166666667,75
2016-03-23,11,2,4.48754448398576,5,27,1,7.87188612099644,5,105,5,13.288256227758,10,505,156,279.740213523132,251,87,20,68.7259786476868,74
2016-03-24,11,2,5.46875,5,62,3,12.1875,5,111,6,19.7048611111111,12,1047,63,324.277777777778,272,113,4,70.4548611111111,73
2016-03-25,8,2,4.88541666666667,5,247,1,15.9201388888889,5,63,6,15.0868055555556,11,771,50,299.434027777778,274,115,26,82.1805555555556,85.5
2016-03-26,8,1,4.60069444444444,5,37,4,14.0451388888889,5,32,6,13.8333333333333,13,656,100,269.625,265,110,27,79.0729166666667,83
2016-03-27,6,1,3.92753623188406,4,25,1,8.15217391304348,5,33,5,10.7717391304348,10,495,155,249.04347826087,223.5,98,46,75.768115942029,75
2016-03-28,9,1,4.61371841155235,5,41,1,11.0794223826715,5,100,6,19.8592057761733,14,614,52,268.191335740072,245,98,5,64.7364620938628,70
2016-03-29,11,1,5.0625,5,39,2,14.4270833333333,5,119,6,24.9131944444444,15,686,53,280.201388888889,263,129,4,69.5347222222222,70
2016-03-30,14,1,5.07986111111111,5,61,1,17.3333333333333,5,98,8,22.6145833333333,18,797,50,282.684027777778,254,141,6,87.5833333333333,90
2016-03-31,13,1,4.5625,5,23,1,6.99305555555556,5,50,5,11.4583333333333,8,519,7,237.034722222222,235,95,8,74.7013888888889,78
2016-04-01,16,1,5.54513888888889,6,31,1,8.96527777777778,5,105,4,14.4965277777778,10,768,50,300.1875,269.5,106,8,73.65625,72
2016-04-02,12,1,6.01041666666667,6,42,3,10.9791666666667,5,53,6,14.4166666666667,11,991,50,275.451388888889,273,140,26,93.0625,87
2016-04-03,8,2,5.07291666666667,6,34,1,10.6006944444444,5,27,6,10.7777777777778,10,564,50,272.34375,254,124,55,87.3402777777778,85
2016-04-04,6,1,4.14930555555556,5,27,1,7.87847222222222,5,61,5,12.1284722222222,8,475,156,237.75,218.5,95,26,78.1979166666667,80
2016-04-05,8,2,4.57446808510638,5,25,1,6.82269503546099,5,88,5,12.6595744680851,8,809,7,262.031914893617,239,92,7,72.3085106382979,75.5
2016-04-06,7,1,4.17361111111111,5,37,1,8.82986111111111,5,81,5,16.7743055555556,10,680,66,252.038194444444,224.5,101,11,71.1701388888889,76
2016-04-07,7,1,3.98263888888889,4.5,42,5,13.6111111111111,5,120,5,21.7534722222222,14,689,50,245.597222222222,219.5,130,5,72.6597222222222,68
2016-04-08,17,1,5.07986111111111,5,49,1,7.54513888888889,5,95,5,13.0625,9,871,50,263.784722222222,235,114,6,86.5902777777778,94
2016-04-09,11,1,5.29370629370629,5,32,1,9.40909090909091,5,78,5,14.7762237762238,10,1079,50,289.122377622378,261.5,115,18,80.0629370629371,82
2016-04-10,10,1,3.79166666666667,4,25,1,8.125,5,40,4,10.3576388888889,10,623,52,220.204861111111,214,102,39,75.5277777777778,77
2016-04-11,6,2,3.59363957597173,4,18,1,5.82332155477032,5,48,4,10.4911660777385,8,586,7,258.409893992933,222,98,8,82.8197879858657,86
2016-04-12,7,1,3.47916666666667,4,20,1,6.32638888888889,5,36,4,10.1527777777778,9,493,103,227.555555555556,209,102,43,84.5,89
2016-04-13,7,1,3.96180555555556,4,24,1,7.51041666666667,5,48,4,11.1840277777778,8,524,95,232.381944444444,208,105,48,89.3715277777778,91
2016-04-14,7,1,3.77431906614786,4,212,1,16.4591439688716,5,60,5,14.5214007782101,12,663,50,239.762645914397,218,116,10,77.8793774319066,79
2016-04-15,8,1,3.71428571428571,4,35,2,11.3623693379791,5,65,5,15.5331010452962,13,546,50,243.595818815331,210,112,8,72.9094076655052,72
2016-04-16,5,1,3.53125,4,36,1,8.23958333333333,5,30,4,9.02777777777778,9,567,52,233.649305555556,188,81,37,66.4166666666667,69
2016-04-17,6,1,3.07638888888889,3,28,1,7.5,5,30,4,7.69791666666667,6,492,146,220.614583333333,193.5,99,48,76.5347222222222,76
2016-04-18,8,1,3.51388888888889,4,30,1,8.60763888888889,5,52,5,13.8680555555556,11,641,7,230.826388888889,212.5,114,8,70.9791666666667,76
2016-04-19,7,1,3.08680555555556,3,29,1,8.61805555555556,5,23,4,8.1875,7,444,60,217.652777777778,188,94,62,82.3784722222222,83.5
2016-04-20,11,1,3.80645161290323,4,24,1,6.97849462365591,5,59,4,12.15770609319,8,590,62,261.096774193548,209,110,19,81.2724014336918,86
2016-04-21,7,1,4.11111111111111,5,23,1,7.3125,5,56,4,12.40625,8,439,56,221.600694444444,214,109,18,83.53125,89
2016-04-22,9,1,3.82986111111111,4,23,3,8.95833333333333,5,47,5,13.1840277777778,11,618,158,273.128472222222,237,107,37,82.0451388888889,83
2016-04-23,6,1,2.36458333333333,2,38,1,10.2951388888889,5,44,5,12.9618055555556,10,522,86,210.076388888889,200,106,17,68.0173611111111,69
2016-04-24,9,1,3.14583333333333,3,26,1,6.88541666666667,5,38,4,11.2951388888889,9,496,56,229.329861111111,200,112,6,70.03125,74.5
2016-04-25,13,1,3.83985765124555,4,29,1,8.51245551601424,5,69,5,15.1957295373665,11,595,7,237.466192170819,222,126,8,84.5338078291815,86
2016-04-26,15,1,4.88888888888889,5,32,1,9.62152777777778,5,68,5,14.84375,12,748,50,243.631944444444,229.5,117,19,88.0625,94
